Name,Branch,Pass-out Year,Gender,Skills_1,Skills_2,Skills_3,Interests_1,Interests_2,Interests_3,Hobbies_1,Hobbies_2,Hobbies_3,10th Marks,12th Marks/Diploma Marks,Study Goals,Dream Companies,Currently Working On,Spoken Languages_1,Spoken Languages_2,Spoken Languages_3
Student_51,Information Technology,2025,Male,HTML,DBMS,C++,Coding,Music,Drawing,Gardening,Cricket,Singing,76,70,Good Job Placement,LTI Mindtree,Internship,Marathi,Telugu,English
Student_52,Electronics,2026,Female,C++,HTML,JavaScript,Drawing,Data Science,Machine Learning,Dancing,Painting,Cricket,86,86,Good Job Placement,Infosys,Internship,Marathi,English,Telugu
Student_53,Electronics,2025,Male,JavaScript,Node.js,React,Machine Learning,Music,Sports,Reading,Gardening,Football,67,63,Higher Studies,EPAM,Internship,Bengali,Tamil,Telugu
Student_54,Information Technology,2026,Non-binary,DBMS,Node.js,React,UI/UX Design,Drawing,Coding,Cricket,Football,Dancing,84,77,Good Job Placement,EPAM,Internship,Marathi,Tamil,Bengali
Student_55,Information Technology,2026,Male,JavaScript,Node.js,Java,Music,Data Science,Sports,Dancing,Cricket,Reading,77,64,Entrepreneurship,Microsoft,Internship,English,Tamil,Telugu
Student_56,Information Technology,2026,Female,C++,Python,Node.js,Data Science,Gaming,Coding,Dancing,Gardening,Cricket,60,82,Higher Studies,Amazon,Final Year Project,Telugu,Marathi,Hindi
Student_57,Computer Science,2027,Non-binary,React,JavaScript,Java,Sports,Music,Data Science,Singing,Reading,Football,74,62,Entrepreneurship,TCS,Final Year Project,Hindi,Telugu,Marathi
Student_58,Mechanical,2023,Female,DBMS,CSS,HTML,Music,Machine Learning,Drawing,Football,Singing,Gardening,69,92,Good Job Placement,Amazon,Personal Project,Bengali,Marathi,Telugu
Student_59,Computer Science,2024,Male,C++,React,JavaScript,Sports,Music,Gaming,Cricket,Yoga,Reading,67,76,Higher Studies,Microsoft,Personal Project,Marathi,Bengali,Hindi
Student_60,Information Technology,2025,Male,Node.js,JavaScript,Python,Sports,Coding,Music,Singing,Yoga,Football,81,79,Good Job Placement,Amazon,Personal Project,Tamil,Bengali,Telugu
Student_61,Mechanical,2025,Non-binary,CSS,DBMS,Java,Gaming,Drawing,Coding,Reading,Cricket,Football,74,100,Higher Studies,EPAM,Final Year Project,Telugu,Hindi,English
Student_62,Information Technology,2023,Female,SQL,HTML,Python,Sports,Gaming,Music,Cricket,Singing,Reading,70,72,Good Job Placement,LTI Mindtree,Internship,Marathi,Hindi,Telugu
Student_63,Electronics,2026,Non-binary,JavaScript,DBMS,React,Coding,Data Science,Music,Painting,Singing,Gardening,100,81,Entrepreneurship,EPAM,Final Year Project,Tamil,Marathi,Telugu
Student_64,Civil,2025,Non-binary,HTML,CSS,DBMS,Data Science,Coding,Drawing,Painting,Dancing,Yoga,62,97,Entrepreneurship,Microsoft,Personal Project,Bengali,Tamil,Hindi
Student_65,Civil,2023,Male,Node.js,C++,HTML,Gaming,Coding,Music,Singing,Reading,Cricket,70,61,Entrepreneurship,Google,Internship,English,Marathi,Bengali
Student_66,Information Technology,2026,Male,C++,React,DBMS,Machine Learning,UI/UX Design,Drawing,Reading,Cricket,Football,87,83,Higher Studies,Wipro,Final Year Project,Marathi,English,Bengali
Student_67,Information Technology,2023,Non-binary,Node.js,HTML,DBMS,Coding,Music,Sports,Dancing,Singing,Yoga,81,62,Higher Studies,EPAM,Internship,Bengali,Telugu,Hindi
Student_68,Computer Science,2025,Non-binary,C++,Python,React,Music,Gaming,Coding,Reading,Cricket,Painting,95,92,Entrepreneurship,Microsoft,Final Year Project,Hindi,Bengali,Marathi
Student_69,Civil,2026,Non-binary,C++,JavaScript,React,Drawing,UI/UX Design,Gaming,Cricket,Yoga,Reading,91,92,Entrepreneurship,Microsoft,Internship,English,Marathi,Bengali
Student_70,Computer Science,2024,Female,Java,HTML,CSS,UI/UX Design,Drawing,Gaming,Reading,Cricket,Gardening,99,74,Higher Studies,Infosys,Personal Project,Bengali,Marathi,Telugu
Student_71,Computer Science,2026,Non-binary,SQL,JavaScript,Node.js,Sports,Data Science,UI/UX Design,Cricket,Singing,Dancing,76,75,Higher Studies,Google,Final Year Project,English,Bengali,Marathi
Student_72,Electronics,2025,Non-binary,Java,Node.js,Python,Coding,Data Science,Machine Learning,Dancing,Gardening,Painting,72,74,Entrepreneurship,Amazon,Personal Project,Telugu,Marathi,English
Student_73,Electronics,2027,Male,DBMS,React,Java,Gaming,Coding,Data Science,Dancing,Football,Cricket,63,94,Higher Studies,LTI Mindtree,Personal Project,Bengali,English,Marathi
Student_74,Information Technology,2025,Non-binary,Python,DBMS,SQL,Music,UI/UX Design,Sports,Singing,Football,Dancing,71,65,Higher Studies,TCS,Internship,Tamil,Marathi,English
Student_75,Mechanical,2025,Female,React,HTML,CSS,Coding,Drawing,Data Science,Cricket,Singing,Painting,80,81,Higher Studies,TCS,Personal Project,Hindi,English,Telugu
Student_76,Information Technology,2026,Non-binary,HTML,JavaScript,Java,Drawing,Data Science,Gaming,Reading,Dancing,Singing,87,66,Good Job Placement,Google,Internship,Hindi,Telugu,Marathi
Student_77,Computer Science,2024,Non-binary,Python,DBMS,Node.js,Music,Machine Learning,Coding,Gardening,Singing,Dancing,81,94,Entrepreneurship,EPAM,Internship,Hindi,Marathi,Tamil
Student_78,Electronics,2024,Non-binary,React,SQL,Node.js,Coding,Drawing,Music,Reading,Gardening,Yoga,60,72,Higher Studies,Microsoft,Internship,Telugu,Bengali,English
Student_79,Computer Science,2026,Female,C++,Java,CSS,Music,Data Science,Gaming,Gardening,Football,Reading,90,92,Entrepreneurship,Microsoft,Internship,Marathi,Telugu,Bengali
Student_80,Information Technology,2024,Non-binary,SQL,HTML,C++,Music,Coding,Machine Learning,Reading,Gardening,Singing,64,67,Entrepreneurship,EPAM,Personal Project,Hindi,Telugu,English
Student_81,Computer Science,2024,Male,Node.js,DBMS,SQL,Machine Learning,Music,Data Science,Dancing,Reading,Cricket,85,86,Higher Studies,EPAM,Personal Project,Marathi,Bengali,Telugu
Student_82,Information Technology,2024,Male,React,Node.js,C++,Sports,Machine Learning,Music,Painting,Yoga,Football,92,69,Entrepreneurship,Wipro,Internship,Bengali,Tamil,English
Student_83,Mechanical,2027,Male,Java,Python,SQL,Machine Learning,Data Science,Music,Yoga,Painting,Football,76,82,Higher Studies,Wipro,Internship,English,Hindi,Telugu
Student_84,Information Technology,2024,Female,Python,Node.js,Java,Coding,UI/UX Design,Machine Learning,Painting,Reading,Cricket,90,72,Entrepreneurship,Wipro,Final Year Project,English,Tamil,Telugu
Student_85,Electronics,2023,Female,Node.js,Python,Java,Gaming,Music,Machine Learning,Singing,Football,Painting,86,81,Good Job Placement,LTI Mindtree,Personal Project,English,Bengali,Marathi
Student_86,Mechanical,2027,Female,DBMS,SQL,Node.js,Drawing,Data Science,Music,Reading,Singing,Cricket,63,64,Good Job Placement,Google,Internship,Marathi,Telugu,Hindi
Student_87,Mechanical,2026,Male,JavaScript,React,C++,Machine Learning,Gaming,Data Science,Reading,Cricket,Gardening,77,99,Higher Studies,LTI Mindtree,Internship,Marathi,Tamil,Bengali
Student_88,Information Technology,2023,Male,SQL,Python,Java,Sports,Machine Learning,Data Science,Singing,Cricket,Painting,61,62,Good Job Placement,EPAM,Internship,Tamil,English,Bengali
Student_89,Information Technology,2024,Non-binary,C++,CSS,Java,Sports,Music,UI/UX Design,Gardening,Singing,Cricket,86,94,Higher Studies,Google,Final Year Project,English,Hindi,Bengali
Student_90,Information Technology,2026,Male,SQL,Node.js,HTML,Music,Gaming,Data Science,Yoga,Singing,Reading,93,90,Entrepreneurship,Google,Internship,Tamil,English,Hindi
Student_91,Computer Science,2026,Male,React,Node.js,SQL,Machine Learning,Music,Drawing,Yoga,Painting,Football,85,66,Higher Studies,Google,Personal Project,Bengali,English,Tamil
Student_92,Mechanical,2023,Non-binary,DBMS,CSS,Python,Data Science,Music,Coding,Singing,Reading,Painting,88,74,Entrepreneurship,Wipro,Personal Project,Bengali,Tamil,Hindi
Student_93,Computer Science,2025,Male,SQL,CSS,DBMS,Drawing,Music,Coding,Singing,Gardening,Football,88,97,Higher Studies,TCS,Personal Project,Hindi,Tamil,Bengali
Student_94,Information Technology,2024,Male,DBMS,JavaScript,C++,Music,Drawing,UI/UX Design,Reading,Yoga,Singing,74,92,Good Job Placement,TCS,Final Year Project,Tamil,Bengali,English
Student_95,Computer Science,2027,Male,Node.js,CSS,JavaScript,Sports,Machine Learning,UI/UX Design,Gardening,Painting,Dancing,76,66,Higher Studies,Google,Internship,Hindi,Marathi,English
Student_96,Mechanical,2025,Non-binary,CSS,C++,Node.js,Gaming,Drawing,Music,Cricket,Singing,Painting,72,97,Entrepreneurship,Amazon,Personal Project,English,Tamil,Telugu
Student_97,Mechanical,2024,Female,CSS,Java,SQL,Gaming,Machine Learning,Data Science,Cricket,Football,Reading,70,97,Good Job Placement,Wipro,Final Year Project,Telugu,Hindi,Tamil
Student_98,Electronics,2026,Female,Java,React,CSS,Machine Learning,Gaming,Sports,Painting,Cricket,Dancing,84,96,Higher Studies,Amazon,Final Year Project,Hindi,English,Bengali
Student_99,Electronics,2027,Non-binary,HTML,JavaScript,CSS,Coding,Machine Learning,UI/UX Design,Football,Reading,Singing,95,95,Good Job Placement,Microsoft,Personal Project,Marathi,Hindi,Telugu
Student_100,Information Technology,2025,Female,DBMS,Python,SQL,Music,Drawing,Sports,Reading,Cricket,Singing,79,85,Good Job Placement,TCS,Final Year Project,Marathi,Telugu,Tamil
Student_101,Information Technology,2023,Male,SQL,DBMS,Node.js,Data Science,Coding,Gaming,Gardening,Dancing,Reading,79,95,Good Job Placement,Infosys,Internship,Telugu,Tamil,Bengali
Student_102,Mechanical,2026,Non-binary,Java,Python,DBMS,Music,Coding,Sports,Yoga,Football,Cricket,75,69,Higher Studies,Google,Personal Project,Marathi,Bengali,Hindi
Student_103,Civil,2024,Female,HTML,CSS,DBMS,Gaming,Music,Machine Learning,Football,Dancing,Gardening,74,75,Good Job Placement,LTI Mindtree,Final Year Project,Bengali,English,Hindi
Student_104,Mechanical,2027,Male,CSS,JavaScript,React,Music,Machine Learning,UI/UX Design,Yoga,Football,Gardening,82,78,Good Job Placement,Google,Final Year Project,Bengali,Telugu,Hindi
Student_105,Computer Science,2026,Non-binary,DBMS,CSS,React,Gaming,UI/UX Design,Data Science,Singing,Dancing,Football,76,73,Entrepreneurship,Wipro,Personal Project,Hindi,Telugu,English
Student_106,Civil,2024,Female,CSS,Java,DBMS,Coding,Sports,Drawing,Gardening,Yoga,Singing,82,99,Entrepreneurship,Google,Internship,Hindi,Telugu,English
Student_107,Civil,2023,Non-binary,CSS,SQL,Node.js,Coding,Music,Machine Learning,Yoga,Gardening,Painting,61,79,Good Job Placement,Google,Personal Project,Tamil,English,Telugu
Student_108,Electronics,2023,Non-binary,Java,Node.js,C++,Machine Learning,Music,Coding,Dancing,Cricket,Painting,84,88,Entrepreneurship,Google,Internship,Telugu,Bengali,English
Student_109,Computer Science,2025,Female,React,SQL,CSS,UI/UX Design,Data Science,Machine Learning,Singing,Football,Reading,82,82,Higher Studies,Microsoft,Internship,Marathi,Hindi,English
Student_110,Mechanical,2026,Female,JavaScript,C++,Java,UI/UX Design,Sports,Music,Singing,Painting,Yoga,73,71,Good Job Placement,Amazon,Personal Project,Telugu,Marathi,Bengali
Student_111,Computer Science,2024,Female,HTML,DBMS,C++,Coding,Data Science,UI/UX Design,Cricket,Reading,Gardening,81,73,Good Job Placement,Infosys,Internship,Marathi,Bengali,English
Student_112,Computer Science,2027,Female,SQL,Python,Node.js,Data Science,Music,Gaming,Dancing,Football,Singing,71,91,Higher Studies,EPAM,Internship,Bengali,Marathi,Telugu
Student_113,Electronics,2027,Male,React,Node.js,SQL,Coding,Drawing,Music,Singing,Yoga,Reading,68,82,Higher Studies,LTI Mindtree,Internship,Tamil,Marathi,Telugu
Student_114,Electronics,2024,Male,C++,Node.js,JavaScript,Gaming,Music,Machine Learning,Yoga,Painting,Gardening,68,72,Entrepreneurship,Google,Final Year Project,Bengali,Marathi,English
Student_115,Electronics,2024,Male,Node.js,Java,DBMS,Data Science,Coding,Sports,Dancing,Cricket,Gardening,62,78,Good Job Placement,Microsoft,Personal Project,Bengali,Marathi,Hindi
Student_116,Electronics,2024,Male,DBMS,SQL,Python,Coding,Data Science,Sports,Gardening,Football,Dancing,84,100,Entrepreneurship,TCS,Internship,Bengali,Marathi,Tamil
Student_117,Electronics,2024,Female,React,Python,HTML,Music,Machine Learning,Gaming,Dancing,Painting,Reading,76,88,Entrepreneurship,Wipro,Personal Project,English,Marathi,Tamil
Student_118,Electronics,2023,Female,HTML,SQL,C++,Gaming,Drawing,Machine Learning,Painting,Football,Yoga,83,64,Higher Studies,Microsoft,Internship,English,Telugu,Hindi
Student_119,Mechanical,2023,Non-binary,CSS,React,Java,Drawing,Data Science,Gaming,Reading,Singing,Cricket,93,100,Good Job Placement,Wipro,Final Year Project,Bengali,Telugu,Hindi
Student_120,Mechanical,2025,Male,C++,DBMS,Python,Music,Data Science,Machine Learning,Football,Yoga,Cricket,64,93,Entrepreneurship,TCS,Personal Project,Hindi,English,Bengali
Student_121,Civil,2024,Male,HTML,Java,JavaScript,Sports,Data Science,Drawing,Painting,Gardening,Reading,64,61,Higher Studies,Infosys,Internship,English,Tamil,Bengali
Student_122,Electronics,2024,Male,Python,JavaScript,Java,Music,Coding,Machine Learning,Cricket,Singing,Painting,86,60,Entrepreneurship,EPAM,Personal Project,Marathi,English,Hindi
Student_123,Information Technology,2024,Male,Node.js,CSS,SQL,Gaming,Music,Machine Learning,Cricket,Gardening,Reading,80,62,Good Job Placement,TCS,Internship,Hindi,Tamil,Telugu
Student_124,Electronics,2024,Female,Python,DBMS,Node.js,Gaming,Drawing,Data Science,Dancing,Reading,Yoga,96,75,Good Job Placement,Amazon,Personal Project,Telugu,Marathi,English
Student_125,Civil,2024,Non-binary,React,DBMS,SQL,Machine Learning,Data Science,Gaming,Football,Cricket,Singing,72,77,Higher Studies,LTI Mindtree,Final Year Project,Tamil,Hindi,Marathi
Student_126,Information Technology,2024,Non-binary,SQL,DBMS,Node.js,Sports,Gaming,Coding,Singing,Yoga,Painting,83,78,Entrepreneurship,Microsoft,Personal Project,Tamil,Marathi,Hindi
Student_127,Computer Science,2024,Male,DBMS,Python,CSS,Drawing,Machine Learning,Coding,Yoga,Gardening,Cricket,65,72,Entrepreneurship,Microsoft,Final Year Project,Bengali,Telugu,Tamil
Student_128,Information Technology,2026,Non-binary,DBMS,C++,SQL,Drawing,Gaming,Data Science,Football,Painting,Yoga,76,79,Good Job Placement,Wipro,Personal Project,Hindi,Marathi,English
Student_129,Information Technology,2027,Male,Java,CSS,JavaScript,Data Science,UI/UX Design,Drawing,Dancing,Reading,Gardening,75,67,Higher Studies,Microsoft,Final Year Project,Bengali,Tamil,Telugu
Student_130,Electronics,2023,Non-binary,CSS,C++,SQL,Music,Machine Learning,Data Science,Cricket,Football,Gardening,96,100,Higher Studies,TCS,Final Year Project,Bengali,Marathi,Tamil
Student_131,Information Technology,2027,Male,Java,C++,CSS,Music,Coding,Gaming,Gardening,Dancing,Cricket,91,69,Good Job Placement,Wipro,Internship,Bengali,Tamil,Telugu
Student_132,Civil,2025,Female,C++,Node.js,SQL,Machine Learning,Drawing,Music,Singing,Painting,Gardening,78,68,Good Job Placement,Amazon,Personal Project,Marathi,English,Bengali
Student_133,Information Technology,2026,Female,React,Java,Python,Data Science,Music,UI/UX Design,Painting,Singing,Gardening,80,69,Entrepreneurship,Infosys,Personal Project,English,Marathi,Tamil
Student_134,Civil,2027,Male,CSS,Java,C++,Sports,Coding,Music,Painting,Gardening,Reading,97,78,Good Job Placement,EPAM,Personal Project,Hindi,English,Bengali
Student_135,Mechanical,2025,Female,Node.js,CSS,JavaScript,Coding,Gaming,Data Science,Cricket,Yoga,Painting,70,65,Good Job Placement,Wipro,Personal Project,Hindi,English,Bengali
Student_136,Computer Science,2026,Male,JavaScript,CSS,SQL,Machine Learning,Music,Coding,Football,Gardening,Cricket,66,70,Good Job Placement,TCS,Internship,Hindi,Telugu,Bengali
Student_137,Electronics,2023,Female,React,DBMS,Node.js,Gaming,Sports,Music,Painting,Singing,Reading,60,64,Higher Studies,Google,Internship,Telugu,Hindi,Bengali
Student_138,Computer Science,2024,Female,Java,DBMS,SQL,Drawing,Sports,Machine Learning,Dancing,Yoga,Reading,67,61,Good Job Placement,EPAM,Internship,Marathi,Tamil,Bengali
Student_139,Information Technology,2026,Non-binary,SQL,JavaScript,CSS,Drawing,Sports,Coding,Dancing,Football,Singing,89,67,Higher Studies,Amazon,Internship,Telugu,English,Bengali
Student_140,Civil,2025,Male,JavaScript,DBMS,Node.js,UI/UX Design,Drawing,Data Science,Painting,Cricket,Singing,84,79,Higher Studies,EPAM,Personal Project,English,Bengali,Tamil
Student_141,Mechanical,2027,Non-binary,React,JavaScript,Node.js,Data Science,Coding,Music,Yoga,Reading,Painting,70,93,Good Job Placement,Wipro,Internship,Bengali,Hindi,English
Student_142,Information Technology,2027,Non-binary,Java,DBMS,HTML,Drawing,Coding,UI/UX Design,Cricket,Painting,Singing,61,92,Good Job Placement,Microsoft,Personal Project,English,Bengali,Tamil
Student_143,Civil,2027,Non-binary,React,SQL,Node.js,UI/UX Design,Gaming,Data Science,Gardening,Football,Singing,62,63,Entrepreneurship,TCS,Internship,Hindi,English,Telugu
Student_144,Electronics,2024,Male,HTML,Node.js,React,Music,Data Science,Gaming,Gardening,Football,Dancing,92,62,Entrepreneurship,Wipro,Internship,English,Telugu,Tamil
Student_145,Mechanical,2026,Non-binary,HTML,DBMS,SQL,Drawing,Data Science,Music,Gardening,Dancing,Singing,80,66,Higher Studies,Microsoft,Personal Project,Bengali,English,Telugu
Student_146,Civil,2026,Male,Node.js,CSS,React,Coding,UI/UX Design,Music,Cricket,Dancing,Gardening,62,74,Higher Studies,Google,Final Year Project,Marathi,Telugu,Tamil
Student_147,Civil,2026,Non-binary,SQL,JavaScript,C++,Music,Gaming,Data Science,Singing,Painting,Gardening,83,67,Higher Studies,TCS,Personal Project,English,Tamil,Hindi
